#UNIVERSE,Vitamin1;Mineral2;Protein3;Fiber4;Omega5;Amino6;Enzyme7;Antioxidant8;Electrolyte9;Nutrient10;VitaminB1;MineralB2;ProteinB3;FiberB4;OmegaB5;AminoB6;EnzymeB7;AntioxidantB8;ElectrolyteB9;NutrientB10;VitaminC1;MineralC2;ProteinC3;FiberC4;OmegaC5;AminoC6;EnzymeC7;AntioxidantC8;ElectrolyteC9;NutrientC10;VitaminD1;MineralD2;ProteinD3;FiberD4;OmegaD5;AminoD6;EnzymeD7;AntioxidantD8;ElectrolyteD9;NutrientD10;VitaminE1;MineralE2;ProteinE3;FiberE4;OmegaE5;AminoE6;EnzymeE7;AntioxidantE8;ElectrolyteE9;NutrientE10;VitaminF1;MineralF2;ProteinF3;FiberF4;OmegaF5;AminoF6;EnzymeF7;AntioxidantF8;ElectrolyteF9;NutrientF10;VitaminG1;MineralG2;ProteinG3;FiberG4;OmegaG5;AminoG6;EnzymeG7;AntioxidantG8;ElectrolyteG9;NutrientG10;VitaminH1;MineralH2;ProteinH3;FiberH4;OmegaH5;AminoH6;EnzymeH7;AntioxidantH8;ElectrolyteH9;NutrientH10;VitaminI1;MineralI2;ProteinI3;FiberI4;OmegaI5;AminoI6;EnzymeI7;AntioxidantI8;ElectrolyteI9;NutrientI10;VitaminJ1;MineralJ2;ProteinJ3;FiberJ4;OmegaJ5;AminoJ6;EnzymeJ7;AntioxidantJ8;ElectrolyteJ9;NutrientJ10
#MAX_CALORIES,1959410.45
Eggs_1,2133,FiberF4;MineralC2;FiberH4;NutrientG10;FiberE4;OmegaJ5;ProteinG3;FiberJ4;AntioxidantI8;AntioxidantH8;EnzymeF7;NutrientC10;AntioxidantJ8;OmegaF5;MineralD2;OmegaB5;AminoG6;ProteinC3;VitaminE1
Yogurt_2,2014,NutrientC10;FiberH4;EnzymeJ7;AntioxidantF8;OmegaJ5;Protein3;FiberG4;NutrientI10;AminoH6;NutrientG10;ProteinJ3;MineralI2;OmegaF5
Rice_3,2348,ElectrolyteF9;MineralG2;NutrientI10;Antioxidant8;MineralF2;FiberG4
Cheese_4,2460,EnzymeG7;NutrientJ10;ElectrolyteB9;Mineral2;EnzymeE7;AntioxidantJ8;Vitamin1;ElectrolyteE9;NutrientG10;VitaminB1;OmegaI5;MineralC2;FiberC4;ElectrolyteC9;VitaminI1
Potato_5,2167,MineralB2;VitaminF1;EnzymeI7;OmegaI5;EnzymeE7;Mineral2;NutrientJ10;ProteinE3
Carrot_6,2229,AntioxidantI8;FiberD4;MineralF2;ProteinH3;NutrientB10;FiberJ4
Grape_7,2267,Nutrient10;FiberH4;AntioxidantB8;MineralE2;ProteinH3;VitaminF1;ElectrolyteF9;EnzymeJ7
Onion_8,2488,MineralH2;AminoH6;ElectrolyteG9;ElectrolyteJ9
Beans_9,2137,AminoF6;NutrientH10;AntioxidantH8;NutrientG10;EnzymeD7;Protein3;VitaminC1;EnzymeB7;Omega5;ProteinE3
Lettuce_10,2017,OmegaI5;NutrientG10;AminoF6;ProteinJ3;EnzymeH7;MineralJ2;ElectrolyteI9;ProteinD3;OmegaG5;AntioxidantD8
Tofu_11,2066,AntioxidantH8;FiberE4;OmegaJ5;ElectrolyteH9;AminoG6;VitaminH1;VitaminI1;Electrolyte9;ProteinI3;VitaminB1;EnzymeD7;OmegaE5
Apple_12,2320,OmegaG5;ElectrolyteF9;EnzymeJ7;Omega5;ElectrolyteI9;FiberI4;EnzymeF7;MineralB2;AminoE6;ProteinC3;VitaminD1;NutrientG10;MineralF2;AntioxidantF8;NutrientE10;MineralG2;AminoC6;ElectrolyteJ9;OmegaI5;FiberC4
Eggs_13,2478,AminoD6;ElectrolyteE9;NutrientJ10;Nutrient10;ElectrolyteH9;Electrolyte9;ProteinJ3;VitaminI1;OmegaI5;NutrientF10;FiberG4;ElectrolyteG9;NutrientE10;NutrientG10;NutrientB10;NutrientH10;FiberH4
Beans_14,2258,MineralJ2;NutrientB10;EnzymeB7;VitaminE1;EnzymeG7;FiberH4;AminoC6;FiberG4;AminoJ6;Omega5;ProteinI3;ElectrolyteG9;AntioxidantI8;AntioxidantG8;Vitamin1;MineralF2;FiberC4;VitaminI1
